phenotype	variable_type	source	n_non_missing	n_missing	n_controls	n_cases
G54	categorical	icd10	361194	0	361051	143
C21	categorical	icd10	361194	0	361055	139
F45	categorical	icd10	361194	0	360953	241
I35	categorical	icd10	361194	0	360293	901
D38	categorical	icd10	361194	0	361087	107
C49	categorical	icd10	361194	0	360972	222
M05	categorical	icd10	361194	0	360906	288
N97	categorical	icd10	361194	0	360498	696
N64	categorical	icd10	361194	0	360350	844
G35	categorical	icd10	361194	0	360628	566
K09	categorical	icd10	361194	0	360907	287
J84	categorical	icd10	361194	0	360852	342
R49	categorical	icd10	361194	0	360629	565
H53	categorical	icd10	361194	0	360634	560
N47	categorical	icd10	361194	0	359651	1543
Z31	categorical	icd10	361194	0	361007	187
N72	categorical	icd10	361194	0	360824	370
R56	categorical	icd10	361194	0	360117	1077
N63	categorical	icd10	361194	0	359995	1199
R86	categorical	icd10	361194	0	361080	114
T14	categorical	icd10	361194	0	361060	134
Q66	categorical	icd10	361194	0	361094	100
T42	categorical	icd10	361194	0	360656	538
I95	categorical	icd10	361194	0	360628	566
N89	categorical	icd10	361194	0	360430	764
G81	categorical	icd10	361194	0	360903	291
M65	categorical	icd10	361194	0	358382	2812
L71	categorical	icd10	361194	0	361085	109
Z03	categorical	icd10	361194	0	356243	4951
N81	categorical	icd10	361194	0	353683	7511
D05	categorical	icd10	361194	0	359740	1454
N02	categorical	icd10	361194	0	360725	469
J13	categorical	icd10	361194	0	361025	169
O46	categorical	icd10	361194	0	360741	453
L28	categorical	icd10	361194	0	361072	122
T17	categorical	icd10	361194	0	360957	237
J96	categorical	icd10	361194	0	361000	194
Z40	categorical	icd10	361194	0	360669	525
K70	categorical	icd10	361194	0	360850	344
I26	categorical	icd10	361194	0	359076	2118
A09	categorical	icd10	361194	0	359033	2161
J47	categorical	icd10	361194	0	360801	393
B37	categorical	icd10	361194	0	360942	252
M94	categorical	icd10	361194	0	360861	333
O35	categorical	icd10	361194	0	361088	106
H65	categorical	icd10	361194	0	360413	781
Z04	categorical	icd10	361194	0	360695	499
R11	categorical	icd10	361194	0	358923	2271
F43	categorical	icd10	361194	0	360967	227
