"rsid" "gene" "protein" "eQTL" "ref"
"1" "rs10011326" "HTT" "." "Nerve_Tibial, Thyroid, Adipose_Subcutaneous" NA
"2" "rs1002436" "RP11-76N22.2" "." "Cells_Transformed_fibroblasts, Nerve_Tibial, Esophagus_Mucosa" NA
"3" "rs10031229" "RP11-422J15.1" "." "." NA
"4" "rs10044000" "CATSPER3" "." "Testis" NA
"5" "rs10056700" "RAD50" "." "." NA
"6" "rs10063744" "CTD-2337A12.1" "." "Nerve_Tibial, Brain_WHMT" NA
"7" "rs10075137" "SPOCK1" "." "." NA
"8" "rs10090496" "RP11-579E24.2" "." "." NA
"9" "rs10101154" "C8orf34" "." "." NA
"10" "rs10101410" "ZFAT" "A549,CTCF,HudsonAlpha,DEX_100nM;A549,CTCF,HudsonAlpha,EtOH_0.02pct;MCF-7,CTCF,UT-A,estrogen;MCF-7,CTCF,UT-A,vehicle" "Lymphoblastoid_EUR_exonlevel" NA
"11" "rs1010717" "SPSB4" "." "Whole_Blood, Thyroid" NA
"12" "rs10120452" "GABBR2" "." "Lymphoblastoid_EUR_exonlevel" NA
"13" "rs10151599" "RP11-255G12.3" "." "." NA
"14" "rs10152928" "IQGAP1" "." "Esophagus_Muscularis, Artery_Aorta, Stomach" NA
"15" "rs10157929" "JAK1" "." "." NA
"16" "rs10166834" "AC007277.3" "." "." NA
"17" "rs10168889" "Y_RNA" "." "Artery_Aorta, Artery_Tibial" NA
"18" "rs10170257" "FANCL" "." "." NA
"19" "rs10171410" "AC013480.2" "." "Lung" NA
"20" "rs10180713" "SPTBN1" "." "Whole_Blood, Cells_Transformed_fibroblasts, Thyroid" NA
"21" "rs10189498" "AC093865.1" "." "Whole_Blood" NA
"22" "rs10190250" "RQCD1" "." "Whole_Blood, Artery_Aorta, Lymphoblastoid_EUR_exonlevel" NA
"23" "rs10194007" "RP11-764E7.1" "." "." NA
"24" "rs1019880" "RP11-351E7.1" "." "." NA
"25" "rs10231142" "DGKB" "." "." NA
"26" "rs10252733" "EIF2AK1" "." "Testis, Lymphoblastoid_EUR_exonlevel" NA
"27" "rs1025452" "C4orf45" "." "." NA
"28" "rs10258081" "NPSR1-AS1" "." "." NA
"29" "rs10258803" "CTB-111H14.1" "." "." NA
"30" "rs10278110" "ITGB8" "." "." NA
"31" "rs10278591" "MAD1L1" "." "Whole_Blood" NA
"32" "rs1030431" "UBXN2B" "." "Heart_Left_Ventricle, Lymphoblastoid_EUR_exonlevel, Whole_Blood" NA
"33" "rs1036332" "RP11-16L9.4" "." "." NA
"34" "rs1036876" "TMPRSS7" "." "." NA
"35" "rs1039405" "SIGLEC9" "." "Lung" NA
"36" "rs10404028" "Metazoa_SRP" "." "." NA
"37" "rs10406381" "ZSCAN22" "." "." NA
"38" "rs10411584" "ZNF211" "." "Lymphoblastoid_EUR_exonlevel, Muscle_Skeletal" NA
"39" "rs10412624" "MIER2" "." "Lung, Heart_Left_Ventricle, Thyroid" NA
"40" "rs10440319" "MIR5705" "." "Whole_Blood, Skin_Sun_Exposed_Lower_leg" NA
"41" "rs10467747" "TC2N" "." "Lymphoblastoid_EUR_exonlevel, Lymphoblastoid_EUR_genelevel" NA
"42" "rs1047891" "CPS1" "." "." NA
"43" "rs10489493" "Y_RNA" "." "Nerve_Tibial, Thyroid" NA
"44" "rs10492106" "NECAP1" "." "Whole_Blood" NA
"45" "rs10493008" "USP48" "K562,CJUN,Stanford,IFNa6h;K562,CJUN,Stanford,IFNg30;K562,CJUN,Stanford,IFNg6h;K562,POL2,Stanford,IFNg6h;K562,STAT1,Stanford,IFNg30;K562,STAT1,Stanford,IFNg6h" "Whole_Blood" NA
"46" "rs10493592" "AC104458.1" "." "." NA
"47" "rs1049897" "MGP" "." "Whole_Blood, Testis, Thyroid" NA
"48" "rs10499310" "TULP4" "." "." NA
"49" "rs10501068" "SLC5A12" "." "." NA
"50" "rs10502340" "RP11-793A3.2" "." "." NA
"51" "rs10508019" "ABCC4" "K562,CMYC,Stanford,IFNg30;K562,CMYC,Stanford,IFNg6h;K562,STAT2,Stanford,IFNa30" "." NA
"52" "rs10516865" "FAM190A" "." "." NA
"53" "rs10520936" "RP11-46C20.1" "." "." NA
