"ApoA1" "ApoB" "BisDBRatio" "BisFARatio" "CH2DBRatio" "CH2InFA" "DBInFA" "DHA" "EstC" "FALen" "FAw3" "FAw6" "FAw79S" "FreeC" "Gln" "Glol" "LLDLFC" "Gp" "HDLC" "HDLD" "IDLC" "IDLFC" "IDLL" "IDLPL" "IDLP" "IDLTG" "LA" "LDLC" "LDLD" "LHDLCE" "LHDLC" "LHDLFC" "LHDLL" "LHDLPL" "LHDLP" "LLDLCE" "LLDLC" "MVLDLFC" "LLDLL" "LLDLPL" "LLDLP" "LVLDLCE" "LVLDLC" "LVLDLFC" "LVLDLL" "LVLDLPL" "LVLDLP" "LVLDLTG" "MHDLCE" "MHDLC" "MHDLFC" "MHDLL" "MHDLPL" "MHDLP" "MLDLCE" "MLDLC" "MLDLL" "MLDLPL" "MLDLP" "MUFA" "MVLDLCE" "MVLDLC" "TotPG" "MVLDLL" "MVLDLPL" "MVLDLP" "MVLDLTG" "OtPUFA" "PC" "SerumC" "SerumTG" "SHDLL" "SHDLP" "SHDLTG" "SLDLC" "SLDLL" "SLDLP" "SM" "SVLDLC" "SVLDLFC" "SVLDLL" "SVLDLPL" "SVLDLP" "SVLDLTG" "TotFA" "VLDLD" "XLHDLCE" "XLHDLC" "XLHDLFC" "XLHDLL" "XLHDLPL" "XLHDLP" "XLHDLTG" "XLVLDLL" "XLVLDLPL" "XLVLDLP" "XLVLDLTG" "XSVLDLL" "XSVLDLPL" "XSVLDLP" "XSVLDLTG" "XXLVLDLL" "XXLVLDLPL" "XXLVLDLTG" "Gly"
"rs10468017" 4.36e-35 0.02178 0.429479 0.61003 0.216582 0.102169 0.338976 1.23e-07 2.58e-07 0.097853 2.43e-06 9.5e-12 2.54e-12 1.29e-18 0.610198 0.652114 1.32e-06 0.004532 3e-32 2.4e-99 3.3e-16 1.05e-23 1.16e-20 8.48e-20 3.72e-23 5.32e-48 2.13e-09 0.574059 6.33e-58 3.29e-59 4.74e-64 2.65e-65 1.18e-67 4.02e-63 1.65e-70 0.004326 2.4e-05 0.203026 4.87e-05 7.86e-07 6.83e-07 0.000792 0.003972 0.005497 0.00079 0.025763 0.001977 4e-04 0.603452 0.417444 1.02e-05 0.006788 4.01e-07 0.000189 0.243311 0.779612 0.329278 0.838615 0.084551 5.85e-10 0.117595 0.278076 3.86e-27 0.002007 0.219983 0.000274 0.001403 3.43e-11 1.44e-27 1.84e-12 0.062664 2.58e-19 8.12e-21 9.71e-06 0.05607 0.271952 0.411077 2.88e-11 0.006852 0.11295 0.620567 0.000928 0.921896 0.30812 1.68e-13 3.56e-27 1.89e-41 8.68e-44 5.33e-62 5.06e-64 3.45e-80 4.67e-69 2.33e-148 0.000262 0.000178 1.95e-05 1.07e-05 9.13e-32 1.91e-34 1.92e-30 1.23e-15 0.043002 0.000352 0.001726 0.028586
"rs633695" 2.37e-24 0.000476 0.182671 0.332949 0.661231 0.61332 0.623787 1.82e-08 8.8e-08 0.820901 9.89e-06 1.83e-14 1.44e-12 1.19e-21 0.278411 0.012929 2.17e-08 0.405529 1.69e-18 4.75e-61 1.04e-14 1.36e-21 3.49e-18 1.74e-18 2.93e-20 1.86e-41 2.75e-12 0.054118 9.01e-30 6.89e-37 8.29e-37 4.46e-38 1.46e-41 1.72e-38 2e-43 0.000606 6.74e-07 0.17394 5.93e-06 6.02e-09 1.05e-07 0.157042 0.668924 0.596598 0.059865 0.260926 0.283246 0.034635 0.094503 0.476269 0.003298 0.167577 0.001096 0.021403 0.037104 0.213845 0.027913 0.026826 0.004161 5.92e-11 0.009671 0.008853 6.3e-23 0.338621 0.226248 0.148498 0.432151 7.83e-11 2.29e-23 1.95e-12 0.000775 3.57e-12 2.25e-13 1.03e-05 0.455914 0.443993 0.011366 2.57e-10 0.000368 0.005533 0.068316 5.53e-05 0.096774 0.326407 5.42e-15 1.58e-15 1.18e-35 3.35e-33 8.5e-45 9.18e-49 2.39e-54 1.26e-46 1.72e-104 0.126451 0.073661 0.042057 0.031368 1.63e-27 2.54e-27 8.23e-27 9.32e-17 0.408616 0.03525 0.137452 0.010932
"rs7412" 0.000744 4.39e-59 0.00148 7.61e-07 3.27e-11 6.3e-10 4.64e-08 0.362135 1.14e-54 0.047849 0.163448 8.06e-22 0.087604 6.14e-27 0.239404 0.72409 2.03e-120 0.12212 0.165657 1.25e-08 5.08e-92 1.09e-93 1.92e-82 2.19e-87 5.03e-75 2.7e-23 3.4e-25 1.75e-119 7.63e-07 2.84e-10 8.48e-10 2.29e-05 1.21e-05 0.003893 7.88e-05 1.54e-105 2.63e-112 0.920195 4.82e-106 3.97e-104 4.52e-101 6.04e-08 4.33e-07 1.3e-05 4.14e-05 0.000708 3.87e-05 0.000103 0.000603 0.001831 0.287697 0.050917 0.118187 0.067369 2.04e-96 9.52e-109 1.31e-94 9.76e-92 1.65e-89 0.361914 0.011708 0.449152 1.41e-07 0.361922 0.891702 0.150115 0.015665 8.04e-05 1.29e-05 1.94e-58 0.224655 2.68e-13 8.96e-06 0.002277 5.52e-83 2.19e-70 1.44e-59 2.23e-12 6.59e-20 2.79e-14 1.07e-06 1.35e-05 0.000611 0.292738 9.89e-06 1.25e-12 0.003217 0.007386 0.005325 0.000424 3.66e-05 1.34e-05 0.950731 2.95e-07 0.000311 0.036717 2.74e-05 2.65e-19 2.45e-48 5.88e-18 4.84e-06 7.49e-08 3.06e-09 3.58e-05 0.026893
"rs173539" 1.92e-60 3.51e-05 0.000734 0.00083 0.000466 0.098211 0.000964 0.19856 0.026 0.18084 0.711536 1.48e-07 0.766619 2.07e-05 0.402123 0.173964 0.861215 0.118835 1.02e-92 8.3e-51 0.046651 0.002379 0.000128 3.33e-05 3.56e-06 7.12e-13 9.33e-08 0.940895 1.21e-17 3.13e-70 1.09e-78 4.05e-69 9.08e-69 1.36e-65 6.41e-67 0.392286 0.637977 2.92e-12 0.250907 0.342005 0.13666 6.45e-17 2.64e-14 9.54e-09 1.29e-06 4.24e-08 0.000144 4.95e-05 2.01e-42 9.93e-50 1.13e-45 2.35e-30 1.05e-32 3.72e-24 0.454744 0.724144 0.547899 0.976142 0.434225 0.248086 1.74e-16 9.95e-18 2.09e-13 5.02e-10 3.62e-14 4.81e-09 2.34e-08 0.050582 3.15e-19 0.001498 1.7e-11 0.000978 0.000125 2.97e-41 0.904624 0.967228 0.769646 0.00064 3.3e-20 3.31e-21 1.6e-22 4.92e-28 1.23e-22 1.85e-19 0.040397 0.251748 1.74e-26 4.12e-34 1.94e-42 3.46e-39 7.62e-49 5.47e-26 5.35e-09 3.9e-05 1.9e-06 0.001759 0.001543 4.81e-27 9.23e-13 6.58e-21 6.23e-23 5.27e-11 1.1e-08 1.29e-07 0.007683
"rs964184" 0.076728 2.58e-30 8.84e-08 4.73e-06 0.001806 0.056579 0.037133 6.28e-08 5.51e-06 9.35e-07 9.29e-10 3.79e-22 2.93e-17 7.71e-06 0.502416 0.428248 2.85e-05 8.7e-13 2.46e-07 0.000183 1.43e-06 1.44e-05 2.64e-09 1.46e-10 5.03e-11 7.59e-24 1.14e-28 7.88e-10 9.99e-07 5.99e-09 8.07e-09 4.84e-09 4.4e-09 1.95e-10 1.14e-08 1.22e-08 1.06e-08 6.04e-62 8.1e-09 1.23e-10 6.99e-10 1.53e-49 2.7e-51 5.18e-49 2.62e-45 9.37e-50 7.79e-49 6.99e-48 1.02e-08 3.69e-07 0.000757 0.015074 0.260109 0.31004 5.45e-11 2.07e-09 3.32e-12 4.09e-14 2.19e-13 8.96e-18 1.16e-55 8.67e-62 3.25e-11 1.99e-58 5.01e-62 1.62e-57 2.44e-58 1.1e-06 7.01e-09 1.02e-13 6e-61 0.115138 0.011891 1.24e-44 6.69e-14 1.49e-16 1.89e-19 0.794097 2.3e-40 3.07e-53 2e-54 5.16e-55 1.34e-57 7.63e-66 8.2e-21 4.57e-40 0.374745 0.398308 0.434432 0.874921 0.019881 0.171065 1.07e-27 4.95e-34 1.8e-34 1.16e-35 6.95e-37 6.41e-26 1.79e-13 2.92e-29 9.36e-49 1.03e-26 5.09e-26 1.77e-27 0.419547
"rs11591147" 0.000258 2.5e-34 0.938735 0.071345 0.022084 0.798259 0.003908 0.020496 1.63e-30 4.71e-07 0.141033 1.12e-14 1.37e-05 3.45e-35 0.559939 0.63173 2.02e-50 0.001829 0.510059 0.258024 1.55e-45 1.28e-46 3.33e-42 1.59e-43 1.82e-39 3.01e-20 5.32e-15 2.85e-48 0.075003 0.013285 0.02878 0.252368 0.170138 0.505083 0.279351 8.6e-49 5.69e-50 0.000383 2.07e-48 1.47e-46 4.46e-47 0.114561 0.870881 0.160814 0.444177 0.082064 0.156721 0.77911 0.179291 0.407057 0.08042 0.97217 0.412965 0.699385 1.39e-46 2.83e-47 1.24e-45 3.64e-41 1.91e-44 1.98e-05 3.95e-11 1.55e-07 3.22e-10 0.007987 0.000252 0.064187 0.39109 2.27e-06 8.62e-11 4.91e-39 1.01e-05 7.75e-05 0.016226 1.7e-07 6.4e-43 6.07e-39 3.37e-36 3.74e-20 1.04e-21 4.65e-15 1.48e-11 1.76e-12 7.52e-09 0.000441 2.15e-08 0.017375 0.451083 0.429899 0.712903 0.712201 0.634305 0.839025 1.28e-06 0.242038 0.032443 0.010137 0.408269 6.21e-21 9.19e-33 9.53e-20 4.41e-11 0.233484 0.64548 0.075591 0.367884
"rs17248727" 0.000375 3.11e-31 0.802036 0.192403 0.090423 0.419109 0.020942 0.002147 6.61e-25 0.001126 0.082572 1.92e-14 5.98e-06 6.48e-29 0.007407 0.319209 4.11e-46 0.176421 0.827799 0.106339 1.7e-41 2.6e-43 1.08e-40 1.38e-41 3.29e-39 5.82e-23 1e-14 6.72e-43 0.042239 0.001518 0.008999 0.070631 0.058391 0.230606 0.115435 1.41e-40 1.07e-43 6.71e-07 8.71e-42 1.66e-43 3.3e-41 0.00725 0.004606 0.002564 0.094557 0.007392 0.033473 0.225231 0.022636 0.164805 0.060224 0.910447 0.270279 0.429715 1.44e-38 2.87e-39 3.64e-38 1.99e-35 2.59e-37 1.23e-05 1.35e-13 1.93e-10 6.98e-09 9e-05 4.53e-07 0.001416 0.024119 6.65e-07 6.15e-09 1.78e-31 1.36e-07 9.79e-06 0.005605 2.56e-08 3.56e-35 7.82e-34 1.08e-31 7.75e-11 1.03e-24 1.58e-20 3.15e-15 9.92e-16 9.41e-13 4.66e-08 1.23e-08 0.466367 0.734098 0.754872 0.512446 0.786952 0.191385 0.846108 2.83e-07 0.055876 0.007499 0.3081 0.064738 4.29e-27 9.45e-36 3.8e-26 3.22e-16 0.268319 0.74541 0.524105 0.959078
"rs1260326" 0.000328 2.51e-10 5.89e-07 4.04e-08 1.15e-05 6.23e-06 1.31e-06 3.6e-06 4.4e-07 0.001113 3.37e-14 9.73e-10 1.95e-19 0.010458 9.87e-10 0.603068 0.042019 5.24e-16 0.827124 0.000124 0.00266 0.033025 5e-04 0.000218 0.000149 4.57e-07 1.28e-10 4.76e-05 1.39e-09 0.006146 0.002912 7.6e-05 0.004262 0.00998 0.005624 1.55e-05 0.001261 1.38e-21 1.61e-05 0.000262 7.01e-06 2.08e-14 8.49e-18 7.17e-20 4.9e-16 9.13e-21 1.9e-19 9.83e-20 0.002324 0.003428 0.001206 1.34e-05 1.55e-06 1.42e-06 1.6e-06 6.92e-05 1.18e-07 7.78e-08 2.81e-08 3.53e-20 2.16e-16 5.02e-20 6.83e-09 2.98e-19 4.48e-21 4.67e-19 6.8e-20 1.13e-09 1.49e-07 4.44e-11 1e-24 1.91e-13 5.41e-16 3.58e-11 4.29e-09 1.21e-10 4.91e-12 0.013293 7.58e-13 4.51e-17 6.64e-18 3.94e-19 1.17e-18 6.23e-22 6.24e-19 7.9e-20 0.622794 0.39526 0.045617 0.103397 0.001922 0.004622 0.001572 4.43e-15 2.86e-18 4.17e-16 1.43e-19 5.91e-07 0.001188 6e-08 6.6e-14 6.52e-12 1.09e-15 8.01e-20 3.07e-07
"rs11639208" 2.5e-08 0.280585 0.891114 0.757115 0.29464 0.194487 0.454239 0.000365 0.047906 0.287019 0.000175 0.004935 0.000628 0.000175 0.541308 0.941476 0.119598 0.018259 5.84e-09 6.52e-24 0.003666 0.001696 0.002119 0.012745 0.001362 9.49e-07 0.005958 0.414501 4.55e-08 1.55e-15 2.04e-14 9.12e-16 1.41e-16 7.51e-15 1.08e-16 0.445479 0.277149 0.067851 0.220467 0.216948 0.114646 0.059363 0.03637 0.037493 0.012463 0.026341 0.066214 0.008873 0.556734 0.545952 0.520393 0.838342 0.866847 0.673579 0.915182 0.820831 0.871078 0.5566 0.641086 0.008773 0.976279 0.37738 2.18e-06 0.039327 0.069946 0.032384 0.014876 0.000427 1.02e-06 0.005362 0.884338 1.12e-06 1.55e-06 0.937048 0.782383 0.588758 0.736623 0.025949 0.710093 0.829929 0.439138 0.484568 0.371845 0.220731 0.000426 3.11e-06 9.59e-14 8.93e-14 2.75e-18 5.41e-20 4.1e-23 6.91e-22 1.4e-23 0.018314 0.008063 0.01075 0.010027 0.00045 0.000107 0.000566 0.027342 0.077215 0.026919 0.05291 0.029245
"rs6073958" 0.003159 0.156743 0.034843 0.008663 0.004646 0.000481 0.020282 0.813589 0.057908 0.904153 0.225189 0.115563 0.192674 0.92479 0.753706 0.627421 0.161522 0.12772 1.71e-06 1.68e-46 0.048375 0.102185 0.337788 0.568013 0.582705 0.604472 0.184806 0.949389 0.057544 6.35e-25 2.39e-28 6.51e-28 2.58e-21 2.1e-14 7.71e-20 0.537137 0.300099 3.42e-05 0.660831 0.677966 0.827988 0.133036 0.001552 0.000737 0.001338 0.000244 0.00479 3.52e-05 5.32e-08 2.5e-07 9.59e-07 3.84e-11 4.27e-10 2.13e-12 0.826518 0.755216 0.727543 0.030698 0.540528 0.110405 0.898363 0.0245 0.243815 4.73e-05 1.25e-06 1e-06 1.09e-08 0.94248 0.140866 0.31272 2e-04 3.36e-54 2.62e-55 6.12e-14 0.868331 0.806244 0.618043 0.403461 0.008152 2.79e-05 6.67e-05 1.05e-05 1.04e-05 7.75e-09 0.705159 0.000291 1.08e-22 4.49e-25 2.39e-29 1.39e-33 3.9e-40 1.08e-32 1.68e-31 0.055039 0.029691 0.339293 0.016397 0.085302 0.923341 0.06549 0.001592 0.016155 6.08e-05 0.034551 0.019681
